label,sample,gp_to_fixed,start_to_end,uncertainty,linear_target_gain,linear_damage,linear_increased,mlp_target_gain,mlp_damage,mlp_increased
1,2963,-0.08298503752992642,0.1900856946220399,0.0672942405758953,0.0,0.1654669494852215,0.0,1.5861890562500973e-57,0.1909353696900014,1.0
1,2973,-0.08743717748809329,-0.16829824933640058,0.08517456472917323,0.0,0.0,0.0,2.0798588009297152e-51,0.155607811082056,1.0
1,3058,-0.06198880555536168,-0.11421173289367728,0.07503107280014862,0.0,1.470614735654685e-06,0.0,-6.467777160775262e-23,0.09174698230279626,0.0
1,3068,0.12123945591984987,-0.17068097262800805,0.11753619814101562,0.0,0.011574269262219272,0.0,9.343536394639509e-19,0.035161771475667805,1.0
1,3133,-0.013763338104273694,0.042324513728462604,0.07799059359670175,0.0,0.030208580012390518,0.0,2.1081906574009404e-50,0.22953658531649485,1.0
1,3163,0.20111828107361795,-0.0444153110662182,0.05222806897070247,0.0,0.0020128831226322213,0.0,3.4380688211389907e-10,0.13410816523888047,1.0
1,3217,0.37966226020232474,0.5925387159940463,0.11627512816544533,1.0864690753789724e-278,0.48038700884820684,1.0,7.333809667728377e-05,0.5269991126482749,1.0
1,3231,-0.053431031570777006,0.10294004580281543,0.07373154919503304,0.0,0.0005297901197656163,0.0,-4.0272585950094724e-25,0.09635058390158097,0.0
1,3243,0.16744941441747652,0.3132684614899443,0.0930465756968202,1.677337156930427e-85,0.4925363405484678,1.0,1.7533467006379282e-08,0.0594533489287386,1.0
1,3254,0.20140273514796903,0.28983596886761553,0.09350203751087315,0.0,9.770808500623293e-09,0.0,-1.2787085022817566e-20,0.0008938615975048574,0.0
1,3260,-0.14118242272916331,-0.3833719546485086,0.11535787762832374,0.0,0.0006443557760450469,0.0,-1.2537687622639906e-19,0.12935369194891316,0.0
1,3263,-0.40515979178326156,0.4116626418151078,0.04544099567322946,0.0,0.0056739804315582565,0.0,9.08433143976419e-62,0.06246012135751597,1.0
1,3273,0.3194742617569184,0.44943408580752003,0.10545393419590104,-3.957225754317334e-139,0.4652855730409235,0.0,0.10860350823695163,0.2705543890157466,1.0
1,3283,0.166852017174337,-0.10851858322133413,0.03946087157853127,0.0,0.0,0.0,6.221802039785121e-48,0.11489491591737333,1.0
1,3291,0.28883537693962225,0.4555287774738913,0.09133473643331765,1.0,0.039614538165625046,1.0,6.547653842978244e-05,0.2206698249722237,1.0
1,3327,-0.15075133521763334,-0.49494519632567735,0.08264733213153054,0.0,0.0017498105437619427,0.0,-4.218704845669834e-23,0.016878661922025973,0.0
1,3379,0.20978488122985917,0.3679682086313275,0.08453517353663931,1.977483905759244e-183,0.13582869176964116,1.0,1.4566089283222274e-05,0.4248029636972975,1.0
1,3420,0.36767000432639463,0.8691618971110331,0.13737096917313193,0.0,1.8886739739543135e-05,0.0,1.4226201392717735e-07,0.031040852373701078,1.0
1,3455,0.32597432217632855,0.19058704079422364,0.11487983019948224,1.0,0.3321165062588591,1.0,3.385013340119816e-05,0.2614175257646948,1.0
1,3484,0.14426274821422763,0.7017994032565877,0.1064559816789585,0.0,0.00020674920705587851,0.0,9.109697178453956e-12,0.13263073934736713,1.0
1,3549,0.18011006126742293,-0.48795537714311954,0.10394476534473059,0.0,1.8619767808343725e-05,0.0,-3.7002866075351204e-35,0.0037928734788568114,0.0
1,3653,0.056793157247303605,-0.02202824209780887,0.08591034513943498,0.0,0.0,0.0,3.8340703078411044e-29,0.0,1.0
1,3680,-0.18090316482865468,0.5231900422783918,0.11388422531119831,0.0,3.42277473610042e-05,0.0,4.2708528700373204e-20,0.12919071913839342,1.0
1,3703,-0.26506021585084355,-0.0293719420701102,0.09075013766381311,0.0,0.2946737522472467,0.0,1.1208644790595748e-07,0.20194642949578007,1.0
1,3752,-0.3848973400375999,-0.6068114275826653,0.06632393658780154,0.0,0.0,0.0,5.350425376952187e-19,0.08540480248082169,1.0
1,3761,0.1530617529331961,0.731465515960414,0.12838032847306158,3.4390666990598772e-230,0.5079316987805536,1.0,1.2296610598743729e-05,0.20156075258199335,1.0
1,3764,-0.01845182334490217,-0.14146353613624196,0.04939014114993107,0.0,0.0013959192894288882,0.0,-4.5687485781910065e-28,0.13003127397664418,0.0
1,3769,0.1239582531998446,0.47940609488163105,0.06322285532138576,0.0,0.2921192300489964,0.0,4.982620311246478e-06,0.22918103302059076,1.0
1,3848,-0.24340952855143128,-0.21815116489475453,0.052580802170898895,0.0,0.0258627808142059,0.0,-1.0716504217069478e-24,0.10463458555563765,0.0
1,3861,-0.040318792201336454,0.6357695184718483,0.12248615862683523,3.88749704674162e-301,0.49657350474295,1.0,4.116119838722958e-05,0.11367359209051048,1.0
