label,sample,beta,mean_path_uncertainty,final_uncertainty,linear_target_gain,mlp_target_gain,linear_damage,mlp_damage
2,428,0.5,0.4155234866832928,0.42443113034412683,6.339973649072128e-06,0.3748736451499901,3.0645673239311354e-05,0.20812332813533835
2,530,0.0,0.4212249502807227,0.4347116777317696,0.9988358580148855,0.7941275395901587,0.500006519050479,0.02773955821174965
2,530,0.5,0.4209030220554472,0.4340294724458696,0.9988372723375593,0.7968873473321041,0.5000064379595277,0.02841411782436723
2,792,0.0,0.42195201497147095,0.4272453692817037,0.9853615208770687,0.5459845295250464,0.4993150141750581,0.41313653404978445
2,792,0.5,0.42162553247628626,0.42660745780250586,0.9853615114070611,0.5453780189514885,0.4992462676449882,0.4123450950127649
2,2032,0.0,0.42333709231796945,0.4309158638811214,0.9951024241613818,0.865919900502187,0.2518435613345434,0.1690397258711199
2,2032,0.5,0.42290796995808355,0.4300634618966034,0.995789301703522,0.8708997328674819,0.25184332044175567,0.1693238711633841
2,2083,0.0,0.41123608703333425,0.4194604973483638,1.611029859516222e-07,0.2682136403566151,0.5,0.5029475935288705
2,2083,0.5,0.4111277189961902,0.4191954868287505,1.6012388071029449e-07,0.2692453053849724,0.5,0.503211447281384
2,4370,0.0,0.42030839735535064,0.4343321261199495,0.9940482152976569,0.7178028061432681,0.5188069657476326,0.0175718170301295
2,4370,0.5,0.4200855198415818,0.43379833319599725,0.9946081610815898,0.7236525433976005,0.5188069600453288,0.017975098989425217
2,4603,0.0,0.4265749119110885,0.44309359622328504,0.12781058857660604,0.15877385452856785,0.08472707721184894,0.0007049367921645953
2,4603,0.5,0.42606849148171355,0.4420356807965376,0.17074294668086232,0.17689514443914012,0.08472708761600677,0.000703888523412482
2,4739,0.0,0.4236905107481541,0.4274735748005899,0.9999720306889813,0.8657587780273801,9.149248511415773e-49,0.20259704780876478
2,4739,0.5,0.4232373104139939,0.4265570192396638,0.9999720400313605,0.8678082714163918,9.149248511415773e-49,0.20594694009408104
2,4775,0.0,0.4218995206626083,0.43059453931372477,0.0003987965974194818,0.12049445087726207,1.0750828340243081e-185,0.1552256344373319
2,4775,0.5,0.42158601495847287,0.4299303853396243,0.0003988028572892155,0.12284005885408389,1.0750828340243081e-185,0.1547415282584177
2,4996,0.0,0.4173539049643637,0.4286028229413211,0.9418712311924177,0.1838131746554621,0.016857403507882156,0.1841400953584251
2,4996,0.5,0.4171731571524199,0.428158893900833,0.9418712479355152,0.186226623000036,0.01721542559984918,0.18413445177669824
3,58,0.0,0.20337217135226282,0.21412339769172745,1.0,0.6920027754680175,0.5126022567146442,0.46925172424744144
3,58,0.5,0.20296833351498722,0.2133669230918814,1.0,0.6931978202547945,0.5125578402251696,0.46935847973510275
3,62,0.0,0.22127141019368193,0.23417849312581052,1.0,0.29510903882666506,0.4982116693949961,0.1819966987567258
3,62,0.5,0.22005518744803992,0.23202719304910518,1.0,0.3026054458027678,0.4980887972609769,0.18448102740718583
3,72,0.0,0.23095128737425458,0.24396618219945673,1.0,0.0064015018277632325,6.7817271798276124e-09,0.19585894257963885
3,72,0.5,0.22796396288723017,0.2391010584962876,1.0,0.009567988513170974,1.7505452754029704e-08,0.20925831660230293
3,173,0.0,0.20288718417950144,0.21720596600667252,7.853266569575018e-69,0.8016557111713696,0.015586542056393336,0.4206161261940342
3,173,0.5,0.2023867448149874,0.21601031605843354,2.965609599906489e-69,0.8133187598008674,0.0165697332339416,0.4218250078276482
3,191,0.0,0.21760339046098046,0.22560568697428426,0.0,0.6626657263614547,0.4935725482717892,0.08283856981054696
3,191,0.5,0.21706264045297735,0.22472356328893672,0.0,0.6604233345275963,0.4935725493501012,0.08092460622164988
3,235,0.0,0.21608449837488422,0.2265102964637254,0.0,0.0006122792680072484,2.4631375316164217e-05,0.026652393477260894
3,235,0.5,0.2144646681758644,0.2235189522318539,0.0,0.0011599062919127642,4.3625833711646855e-05,0.03460319058888289
3,260,0.0,0.21321752921319456,0.22772998053796936,0.0,0.956689479466505,0.49915239673646616,0.5116459651335045
3,260,0.5,0.2125275107292547,0.22655097503572016,0.0,0.9557391158753569,0.49911564314785667,0.5110869946853598
3,279,0.0,0.2111602894012709,0.21987754417747865,0.0,0.9876881265531404,0.0150170154341156,0.29812904560484443
3,279,0.5,0.21032508815754747,0.21845486935218225,0.0,0.9875451645354528,0.017027812806415743,0.30184352389164804
3,300,0.0,0.2202067623815723,0.23040594999064518,1.0,0.835920585508616,0.8809757569453764,0.6750458171505029
3,300,0.5,0.21938524175085433,0.22902882639874814,1.0,0.8330758713813741,0.8816516575338957,0.6744986949022147
3,311,0.0,0.22913893576260372,0.24266536073730263,1.0,0.3719052285926876,0.008287279822453433,0.17936115106819203
3,311,0.5,0.2265521051335922,0.2389601743520463,1.0,0.4112943604762456,0.008287279612210218,0.18640300231493448
3,314,0.0,0.21972205628733263,0.2242759218488821,1.0,0.9677074679350264,0.441403540171434,0.49826451129384464
3,314,0.5,0.21895628377531834,0.22300261725801343,1.0,0.966338121711679,0.44287577632644193,0.4981171885794296
3,324,0.0,0.20029080828315257,0.2131259837249347,1.0,0.5035253908444288,0.499997984550159,0.507797822491099
3,324,0.5,0.19995020024612806,0.212362671040177,1.0,0.5063866236335786,0.4999977107910865,0.5074365540313565
3,343,0.0,0.23248908710350202,0.24727556653529506,0.0,0.028504416185926786,9.811692546385788e-06,0.2428329338965018
3,343,0.5,0.23006279775628516,0.24373414349939274,0.0,0.04286004122426765,2.458188810192882e-05,0.24516570883389896
3,364,0.0,0.20919616620596018,0.2235791855744092,1.0,0.455536697531417,0.5947627637384783,0.4921308425487749
3,364,0.5,0.20833637605339936,0.2220909907862191,1.0,0.45088918319716287,0.5748093129501533,0.4878208962601184
3,368,0.0,0.21103907047702694,0.23478437802876165,0.0,0.09367958004275422,0.3724778074486521,0.3320499044061138
3,368,0.5,0.210185507325839,0.23291492927693885,0.0,0.1019802770281588,0.3898509995893842,0.32748967116901434
3,428,0.0,0.2030247165108498,0.21613646147050114,1.0,0.3110452909990729,3.0431320606130566e-05,0.21442207420094841
3,428,0.5,0.2025595399248793,0.2151599827918121,1.0,0.316444092941032,3.0211851722752062e-05,0.2143704628110729
3,436,0.0,0.20836343158673223,0.22212458466876916,1.0,0.9898969842716189,0.002444579958517596,0.40001851256141446
3,436,0.5,0.20754246129157922,0.2206614915354109,1.0,0.9893445831771992,0.0027811996541926335,0.4022457305547689
3,447,0.0,0.21271397408097992,0.2332224171957812,0.0,2.2088972281015e-05,5.5411689862962554e-05,0.011944711405825915
3,447,0.5,0.21117020752854185,0.23022740982322482,0.0,3.349263780917509e-05,6.731959597965957e-05,0.01308150575083779
3,473,0.0,0.2235443676945796,0.24000590797774224,3.661583411128631e-229,0.2751640334929334,0.05630274794003061,0.30034777655837247
3,473,0.5,0.22179719824990043,0.23720419382792524,1.9477741096649499e-203,0.2631846868980349,0.05929917558710411,0.3069030057530728
3,528,0.0,0.21390174206086934,0.2248263487059443,0.0,0.010579705364880643,0.021626402286664143,0.3533059870508938
3,528,0.5,0.21306069203598968,0.2232141900149225,0.0,0.015100457432583366,0.025695793113636227,0.3627171300964551
3,572,0.0,0.2176041905908822,0.22223728381888194,1.0,0.6404994819522911,0.416677949059183,0.2509680762623962
3,572,0.5,0.21695755855913118,0.22113803758463726,1.0,0.6363798901045647,0.4127443390139827,0.2494823161816183
3,622,0.0,0.2236147982140341,0.23466525352912296,1.0,0.47373577567511876,0.5930838157241671,0.5320363557015294
3,622,0.5,0.22286652346259592,0.23327324347765524,1.0,0.47354142948718325,0.5914860261040342,0.5322124646652754
3,630,0.0,0.2277604612872956,0.23685413568402314,1.0,0.8526393925869491,0.49894712652107276,0.4713041129359013
