label,index,alpha,mean,std,rel_norm
Label 4,100,0.1,0.000400018024781585,0.08427318149491549,0.01241205162901982
Label 4,100,0.5,0.0030566285880562647,0.08508332065318333,0.06372163257642462
Label 4,100,0.75,0.004641781101698493,0.08562579257157514,0.09768789833064827
Label 4,100,1.0,0.006548331667818496,0.08604204046013962,0.1320549130926886
Label 4,100,1.5,0.014255697448770362,0.0864726537295487,0.1977342111229649
Label 4,100,2.0,0.0350131248828535,0.0866366876041156,0.2635731441502621
Label 4,100,2.5,0.08288337651644588,0.08642306056056215,0.3318064107348608
Label 4,100,3.0,0.17506759853145568,0.08522903859502574,0.4021933591743031
Label 4,100,4.0,0.5163595485934748,0.07375371948093891,0.5472699699050496
Label 4,150,0.1,0.000423424236461566,0.06741643816224657,0.006629818563047385
Label 4,150,0.5,-0.00023977057348336175,0.058585239542729164,0.032533810464626944
Label 4,150,0.75,-0.0005080269607835256,0.05280531222592844,0.04845070302781284
Label 4,150,1.0,-0.000631496940359931,0.047153106409370225,0.0643061117440153
Label 4,150,1.5,-0.00046991068475220506,0.038281436061351044,0.09520106075329815
Label 4,150,2.0,0.00017776675361732414,0.036220173424105544,0.10839830539389432
Label 4,150,2.5,0.0004008490441767768,0.03679146475817565,0.10919192886523703
Label 4,150,3.0,0.0001280802610789597,0.03617101016802195,0.1093897256332814
Label 4,150,4.0,0.0001589601315751879,0.03623436778391512,0.10983633163638648
Label 4,200,0.1,-0.03624294724277556,0.0754431051831715,0.021599899504660878
Label 4,200,0.5,-0.014639420299611388,0.07800882646386337,0.10801951492251273
Label 4,200,0.75,-0.004515577997041222,0.07933954242619964,0.16203977352354118
Label 4,200,1.0,0.003119345630334701,0.08040992979670111,0.21576261584924875
Label 4,200,1.5,0.013600118087238731,0.08126145241721507,0.31246359311601585
Label 4,200,2.0,0.026536478922926834,0.08074070565823624,0.37446322917015035
Label 4,200,2.5,0.05665029288700105,0.08027103942381968,0.4239073923469996
Label 4,200,3.0,0.12277714960292958,0.07980195824425973,0.48082731777963056
Label 4,200,4.0,0.4201556344439175,0.07392208527084765,0.6296648021296409
Label 5,0,0.1,0.5782548542628565,0.39917397991484566,0.03232917756258054
Label 5,0,0.5,0.7234344639125057,0.3997497208512494,0.161706452983263
Label 5,0,0.75,0.8122728939950837,0.4004344911358674,0.24254144798941155
Label 5,0,1.0,0.8988717199409972,0.40136717109207637,0.3232904976022911
Label 5,0,1.5,1.0629375406056965,0.40394397490438894,0.4842318994021902
Label 5,0,2.0,1.2112794761847967,0.40739596374859327,0.6438401046455142
Label 5,0,2.5,1.3405039116267825,0.41158512130197333,0.8010843774983496
Label 5,0,3.0,1.4484418023683996,0.4163066279854545,0.9542593466393069
Label 5,0,4.0,1.599480503693723,0.42602819962795335,1.2333425932929716
Label 5,10,0.1,0.3890946230174558,0.4061183314914521,0.0196190071788591
Label 5,10,0.5,0.5093197515381379,0.40603849093166916,0.09818074705617388
Label 5,10,0.75,0.5853106518195295,0.4062638018693888,0.1472724212888558
Label 5,10,1.0,0.6614254543048926,0.4066904044591484,0.1962919312736637
Label 5,10,1.5,0.8122500574100715,0.4080770059240992,0.29386321298818857
Label 5,10,2.0,0.9583331754377971,0.41006890766150855,0.3903979501169212
Label 5,10,2.5,1.0964947943402192,0.41252812128814825,0.48533269577681215
Label 5,10,3.0,1.2240139295964583,0.41531811725731643,0.5779919483295669
Label 5,10,4.0,1.4393548682425439,0.42137217669587457,0.7529033426203927
Label 5,15,0.1,0.5903956656833552,0.43158870185112264,0.014139578306790771
Label 5,15,0.5,0.688290755540301,0.4317731994543967,0.07048132396657046
Label 5,15,0.75,0.7500073633790356,0.431953974314108,0.10549621893787982
Label 5,15,1.0,0.8117222743738258,0.43218265003900275,0.14035042640563336
Label 5,15,1.5,0.933768864603241,0.4327442082205516,0.2094872437229695
Label 5,15,2.0,1.0517677526268323,0.43341978058801833,0.2777594525642287
Label 5,15,2.5,1.163287375807304,0.4341795598104501,0.34500878281578307
Label 5,15,3.0,1.266265304480278,0.43499505043013653,0.4110340636308939
Label 5,15,4.0,1.4408981090723163,0.4366412441456717,0.5382583527893668
Label 5,25,0.1,0.0428116477477552,0.427157475776323,0.011492009677602886
Label 5,25,0.5,0.11203637882013812,0.4276868683047747,0.05869560951045053
Label 5,25,0.75,0.15711949307970113,0.42811769537658817,0.08913103001414999
Label 5,25,1.0,0.20366081369181027,0.42861800701147335,0.12016774437796376
Label 5,25,1.5,0.301202600293292,0.4297242562395764,0.18381262530046089
Label 5,25,2.0,0.40462776445881654,0.4308660123441151,0.24897788728068646
Label 5,25,2.5,0.5135000714569982,0.4319212609949039,0.31503597878619866
Label 5,25,3.0,0.6269521002464598,0.43280262534897257,0.38142380285312727
Label 5,25,4.0,0.8621228024018128,0.4339037419235553,0.5132983646436472
Label 5,100,0.1,0.32940112661683557,0.4041595722988885,0.024607544341056123
Label 5,100,0.5,0.4500450590695224,0.4045682236230277,0.12280952239839256
Label 5,100,0.75,0.526661801018966,0.40516954987361636,0.18393519227516134
Label 5,100,1.0,0.6036377230271515,0.4060126555677268,0.2448269713960786
Label 5,100,1.5,0.7567187879931718,0.40830635490716355,0.3656701663989344
Label 5,100,2.0,0.9054462668318429,0.4112140812608634,0.4849100099412094
Label 5,100,2.5,1.0462113612293424,0.4144944587412569,0.6020287337876593
Label 5,100,3.0,1.1758397339118298,0.4179243213290595,0.7163651858776392
Label 5,100,4.0,1.3922018918133268,0.42450778355982915,0.9328073742389185
Label 5,150,0.1,-0.05042030093155836,0.40445829041784825,0.01169647548969533
Label 5,150,0.5,0.026453052940467348,0.4050415307942966,0.05941064405910157
Label 5,150,0.75,0.07628130903017405,0.4059124546706745,0.08996003177557299
Label 5,150,1.0,0.12743553590117995,0.40714490599520226,0.12100566820609
Label 5,150,1.5,0.23349860808339273,0.41051242619283634,0.18448887588890758
Label 5,150,2.0,0.34403516182179694,0.4147231168093718,0.2494926273180036
Label 5,150,2.5,0.4581704324208979,0.41929579535418204,0.31561374136248355
Label 5,150,3.0,0.5747657366608422,0.4237736718511541,0.382441368700028
Label 5,150,4.0,0.8096834270352828,0.4310767991789134,0.5166161658852727
Label 5,200,0.1,0.5029550836176823,0.40006783976732635,0.042193469498911285
Label 5,200,0.5,0.6428765040938411,0.4004737568465913,0.2102266186853886
Label 5,200,0.75,0.729489945673579,0.4010548286795098,0.3145581032484846
Label 5,200,1.0,0.8147049700824721,0.40187691801259456,0.4183185079396637
Label 5,200,1.5,0.978535547315191,0.40418117020136834,0.6237164132863472
Label 5,200,2.0,1.1299045017247158,0.40725363397488595,0.825654480831288
Label 5,200,2.5,1.2651006455106049,0.41093403356303015,1.0229965591426096
Label 5,200,3.0,1.381434658252906,0.4150349922138157,1.2139391715306156
Label 5,200,4.0,1.5533585060251816,0.42354036022733715,1.5622057341885842
Label 7,0,0.1,0.06793872529193468,0.08230189270089815,0.020737729681002896
Label 7,0,0.5,0.22856461999683753,0.08234173084082243,0.10606664168312518
Label 7,0,0.75,0.3379321031151038,0.08258934831570039,0.1605741325337738
Label 7,0,1.0,0.45090486409540353,0.08287517148844122,0.2151233526578816
Label 7,0,1.5,0.6775324552010816,0.0824050658528822,0.31981402882293614
Label 7,0,2.0,0.8952385609499158,0.0785864595240858,0.40962765203918683
Label 7,0,2.5,1.0926475479039466,0.07033047655969427,0.47848294006468833
